# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
172 4.9608475e-01 2.2212563e+01 4.3536220e+00 2.6213574e-01 3.4169595e+00 5.8270508e-01 2.2060684e+01 1.7055761e+02
173 4.9650887e-01 2.2209644e+01 4.3153353e+00 2.4911419e-01 3.3808208e+00 5.9171063e-01 2.2109831e+01 1.7183161e+02
174 4.9852565e-01 2.2195421e+01 4.3300648e+00 2.2591177e-01 3.3654752e+00 5.8495319e-01 2.2112284e+01 1.7303461e+02
175 5.1716858e-01 2.2246500e+01 4.3609262e+00 2.4470159e-01 3.3751683e+00 5.9073603e-01 2.2127695e+01 1.7431560e+02
176 5.0783664e-01 2.2247286e+01 4.3138266e+00 2.4310574e-01 3.3790238e+00 5.9434390e-01 2.2089134e+01 1.7541760e+02
177 4.9779248e-01 2.2260624e+01 4.3078756e+00 2.4533804e-01 3.3745704e+00 5.8851969e-01 2.2042313e+01 1.7658060e+02
178 4.9287239e-01 2.2243420e+01 4.3026757e+00 2.4437487e-01 3.3386397e+00 5.8051234e-01 2.2156992e+01 1.7784960e+02
179 4.9172023e-01 2.2260351e+01 4.2662907e+00 2.2058979e-01 3.3933883e+00 5.8142936e-01 2.2175278e+01 1.7907260e+02
180 4.8861328e-01 2.2248468e+01 4.2675686e+00 2.1343435e-01 3.3463573e+00 5.8074367e-01 2.2118753e+01 1.8019459e+02
181 4.8548388e-01 2.2249945e+01 4.2196021e+00 2.4336013e-01 3.3762712e+00 5.7412422e-01 2.2101330e+01 1.8127884e+02
182 4.8253086e-01 2.2307522e+01 4.2078657e+00 2.3303778e-01 3.3593702e+00 5.7772875e-01 2.2065483e+01 1.8254484e+02
183 4.8555222e-01 2.2343483e+01 4.2236061e+00 2.3622164e-01 3.3396711e+00 5.8137709e-01 2.2190786e+01 1.8395284e+02
184 4.8370883e-01 2.2344681e+01 4.1888905e+00 2.2493762e-01 3.3756979e+00 5.7926333e-01 2.2133587e+01 1.8531884e+02
185 4.8508722e-01 2.2332987e+01 4.1818209e+00 2.1665323e-01 3.3238847e+00 5.8415443e-01 2.2230787e+01 1.8665384e+02
186 4.8851591e-01 2.2354298e+01 4.1419950e+00 2.2144634e-01 3.3345814e+00 5.8464891e-01 2.2077866e+01 1.8764884e+02
